timestamp,burt_effective_size
20200602,0.8176082439945315
20200603,0.818120538399882
20200604,0.8424786306021934
20200610,0.8195828672192011
20200615,0.81699573400777
20200616,0.8177869507041032
20200617,0.817582915696023
20200618,0.8174690177051741
20200621,0.8156532004964744
20200622,0.8152502713575499
20200624,0.8141946767329122
20200629,0.81433571405598
20200630,0.8150694818016002
20200701,0.8149829667545332
20200702,0.8142372568514795
20200705,0.813060373482639
20200706,0.8133061388816701
20200708,0.8138675868481103
20200713,0.8140534065839043
20200714,0.8144045589937926
20200715,0.814453192594933
20200716,0.814174220469642
20200719,0.8152626242617459
20200720,0.8149151659551579
20200722,0.8150880579939839
20200727,0.8143042595329435
20200728,0.8139590911902865
20200729,0.8139478639072888
20200730,0.8131134172577899
20200802,0.8143377736345455
20200803,0.8134046157504432
20200805,0.8142171184083727
20200810,0.8130305101506797
20200811,0.8123192429414262
20200812,0.8116177684465016
20200813,0.8113402090751449
20200816,0.8094205157577842
20200817,0.8093706811501392
20200819,0.8086418033160767
20200824,0.8054560855152975
20200825,0.806261964949847
20200826,0.8073659390239183
20200827,0.8079702853421545
20200830,0.8107784296549368
20200831,0.810845641728329
20200902,0.8135722689621966
20200907,0.8138873669295693
20200908,0.8136964760650749
20200909,0.8134033438065541
20200910,0.8134229210576371
20200913,0.8135246519888791
20200914,0.8127767428537345
20200916,0.8143116424019565
20200921,0.8185732469213222
20200922,0.8202645585108648
20200923,0.820484939759046
20200924,0.8207485272909644
20200927,0.8183099683752432
20200928,0.8163783496258382
20200930,0.8192690619064023
20201005,0.7988410030528352
20201006,0.7891552970838084
20201007,0.7874614519560665
20201008,0.7880163906759682
20201011,0.7867737602715998
20201012,0.7868772438321944
20201014,0.7880564578860798
20201019,0.788043112114266
20201020,0.7884492705778406
20201021,0.7889586345659216
20201022,0.8047218759577719
20201025,0.8061968047387179
20201026,0.806672521434952
20201102,0.820566163670796
20201103,0.8241408318337227
20201104,0.8249129734011291
20201105,0.8257417578385325
20201108,0.8265287210442863
20201109,0.8275298928292801
20201117,0.8265312696233348
20201118,0.8266344885672194
20201119,0.8273506688201446
20201122,0.8286755923142807
20201123,0.8288233927088272
20201201,0.8396989722277093
