timestamp,nodes,edges,components,density,bridges,diameter,transitivity,average_clustering,degree_assortativity,label_communities,lpa_communities,label_non_randomness,lpa_non_randomness,label_relative_non_randomness,lpa_relative_non_randomness
20190730,4473,30367,1,0.0030362057057111104,1121,6,0.07787762279553485,0.3206941385550399,-0.32383530778459635,6,12,55.0716989998938,55.82804109023917,-69.78259181676951,-129.1858895198596
20190731,4469,30050,1,0.0030098922789101403,1136,6,0.07855572709687673,0.3149899660019685,-0.31841996931803673,7,12,80.34861763579703,55.86034002264683,-38.66734646446147,-128.03489648497106
20190801,4469,30157,1,0.0030206096990047625,1130,6,0.07878477115991443,0.31584203595619637,-0.319745806212903,9,14,79.7136315936364,55.391212794096305,-73.36656501894464,-137.89878821175856
20190804,4610,30049,1,0.002828475269314164,1271,6,0.07792466973199819,0.303414465870789,-0.3161370674142982,6,9,55.487168099986114,79.40253078106406,-64.08315450631548,-69.94439185042141
20190805,4622,30034,1,0.0028124011214021066,1279,6,0.07778926768886496,0.30263987979876683,-0.3160034033693765,5,12,82.43556072848307,55.78124023151959,33.37470004293925,-126.2493250627128
20190807,4637,29816,1,0.002773951427567175,1312,6,0.07751204110902919,0.29727020312478114,-0.3150179009076593,8,13,55.084372504116715,33.57586977034062,-94.41504569670357,-153.54927659557086
20190812,4659,29680,1,0.002735279418284956,1351,6,0.07723741501409276,0.29502116075721985,-0.31489888274557587,9,16,79.12029938218707,54.32475499955021,-67.4505906330036,-142.24042589421123
20190813,4676,29721,1,0.002719175857604882,1361,6,0.07731824967750893,0.2945396757371948,-0.31476428468273826,10,16,55.68444844125637,54.45942829300394,-111.54180482117542,-142.13574227786816
20190814,4664,29577,1,0.002719945235088535,1360,6,0.07730526063756497,0.2946053999108592,-0.31484421400069207,9,17,78.95661199376525,-6.0959736294465365,-67.0520959778534,-193.97278563914648
20190815,4652,28262,1,0.0026124431122071215,1355,6,0.07535057325673566,0.2827313584677396,-0.2947664404136039,8,15,54.51940042385195,33.61983904677798,-88.28381734602422,-153.2053925370441
20190818,4629,28318,1,0.002643699214657584,1332,8,0.07566680388364301,0.2826524574482121,-0.2937360835452853,9,16,77.96477009669104,53.45526114992567,-63.2981559887339,-138.24179849838953
20190819,4626,28315,1,0.0026468491838141646,1336,8,0.0759649831682913,0.2821518147438055,-0.2941679189740827,10,15,54.7375713393909,33.439719083473285,-107.75799361186733,-153.678040432728
20190821,4609,28080,1,0.002644282924712519,1333,7,0.07669799508749683,0.2824927061264056,-0.2936263765492091,8,13,54.77313888533044,33.0682167876745,-87.7959661330536,-148.25402263135032
20190826,4640,28338,1,0.0026330362518675993,1353,7,0.07634448612299632,0.28282000743475755,-0.2960378642386328,10,14,55.18184049447974,54.50617739490339,-107.06218772590123,-130.22170527257558
20190827,4657,28561,1,0.002634415029069789,1353,7,0.0761231032246013,0.28059093279795116,-0.2948516117946899,7,14,30.78675124045547,54.44382519184677,-123.0269183438483,-130.98458427522843
20190828,4666,28603,1,0.002628120048385415,1365,7,0.07615758589357921,0.2796717912682969,-0.29487908363457777,7,14,30.86915357703285,54.54479875599175,-122.92977869417832,-130.95632359776548
20190829,4670,28612,1,0.0026244448898218374,1369,7,0.07625433485069037,0.2795524463061246,-0.2945985550169522,10,16,55.46154726137353,54.048901523301126,-107.41094511020937,-138.4957255669344
20190901,4655,28445,1,0.0026259706605823293,1371,7,0.07621035755982115,0.2797734209253399,-0.29599186513871173,7,16,30.866799369464424,54.09976513946771,-122.45970173732016,-137.97039469206916
20190902,4651,28378,1,0.0026242940008276636,1371,7,0.07609243597350278,0.2794531343587967,-0.2968062682300776,12,15,54.92330965798713,33.733815721066634,-120.4896318211835,-153.51673807420093
20190904,4720,29002,1,0.0026041498306521417,1363,7,0.07524846638103777,0.2856907896916493,-0.2964774109370855,10,14,55.78202683595728,54.791867413541596,-107.91296322136262,-131.72560025839056
20190909,4746,29387,1,0.0026098845592117505,1347,6,0.07363357001918917,0.28727570077520764,-0.29586415730783755,11,16,77.31979414332889,54.61077441332638,-88.81831707353047,-140.20320042083065
20190910,4748,29407,1,0.002609460788341646,1352,6,0.07362217269109228,0.28799995580116655,-0.29594469499209025,8,17,54.85907267284395,34.41559737016533,-91.01778841590519,-160.01257904139237
20190911,4766,29477,1,0.002595950064266871,1357,6,0.07361313612542435,0.2881495171194635,-0.29602087142504835,10,18,55.16389596434587,14.853085524499843,-109.99022829603071,-177.3437927874388
20190912,4736,29042,1,0.0025901495476469078,1352,6,0.07403887178974856,0.28836434596288246,-0.2966100123967957,10,19,54.9904442389748,34.741550745564346,-108.89623120798822,-161.96115453296198
20190915,4716,29040,1,0.002611987620042148,1354,7,0.0754132631334443,0.28808104782640387,-0.29063109491109057,12,16,56.15865753166628,55.38741888658723,-120.85778764850502,-138.49797485539239
20190916,4729,29104,1,0.0026033699973415283,1355,7,0.07532178092467802,0.28771788135761733,-0.29090576754932673,9,17,79.48606288767935,35.03553608257556,-62.487094797664604,-158.57190953086774
20190918,4741,29187,1,0.002597593308040017,1364,7,0.07525487176998885,0.28795414059469526,-0.2925939514616193,12,16,56.21756224869128,55.255047539837165,-121.0739977863926,-138.9441939601626
20190923,4759,29222,1,0.002581070039104686,1381,7,0.07517468296088972,0.2825641420911687,-0.2903512310359451,9,18,79.48304814068243,54.223210664539664,-62.405201019075854,-145.4783873896208
20190924,4762,29307,1,0.0025853169136995334,1378,7,0.0751452508902252,0.28342584689537115,-0.29012369388136644,7,17,79.59973482853403,34.27911632460855,-27.08520308478412,-159.74124968434228
20190925,4763,29294,1,0.002583085016863593,1377,7,0.07420800979830257,0.28527345938622256,-0.2925921774929754,10,14,55.891350883498745,54.861369403383776,-108.33385184336873,-132.3297405692795
20190926,4754,29222,1,0.0025865027255996056,1374,7,0.07404176905625261,0.28730727636933945,-0.2940060899727587,7,15,78.9541660172697,33.888041300376315,-28.215252120903475,-155.73800902380913
20190929,4767,29255,1,0.0025753182659388695,1390,7,0.07361107323140412,0.2858750655061446,-0.2937091697240392,9,16,78.59409971901158,53.81939392299312,-63.76822174191695,-140.26157560621584
20190930,4762,29270,1,0.0025820529588147997,1386,7,0.07378946154081586,0.286915813356787,-0.2938948715469005,9,17,78.72996775671503,33.398683806429716,-63.74402812837817,-160.35251342310534
20191002,4735,29212,1,0.002606411905338674,1378,7,0.07433332394281292,0.28690278587736495,-0.2943550142772159,10,17,55.7521643225907,33.62097937967922,-108.5387499367158,-160.0839828351863
20191007,4712,28822,1,0.002596783383469458,1380,7,0.07421591578163601,0.2832592952604899,-0.29029482779567306,13,19,33.120382526620446,33.76457450826648,-150.18912151799708,-162.0479225973424
