timestamp,information_centrality
20200420,2.7894501684595836e-12
20200421,2.7896957976851517e-12
20200422,2.8656053290792227e-12
20200423,2.865597121155025e-12
20200426,2.131131541721597e-12
20200427,2.1547634583915045e-12
20200429,2.124022192177331e-12
20200504,2.026680988123782e-12
20200505,1.98566758323782e-12
20200506,1.825497862414712e-12
20200507,1.7921891231116946e-12
20200510,1.7402693112309682e-12
20200511,1.666343915152877e-12
20200513,1.6919604663774437e-12
20200518,1.7862004987575441e-12
20200519,1.7862039885976011e-12
20200520,1.7542389079164826e-12
20200521,1.6936899053528646e-12
20200524,8.541368043224822e-13
20200525,1.486871756744488e-12
20200527,1.4869016344709086e-12
20200601,1.0026534583675377e-12
20200602,9.873718821060973e-13
20200603,9.874111770241237e-13
20200604,7.636811799177628e-13
20200610,8.674523856130363e-13
20200615,8.492226498708252e-13
20200616,8.492948405704591e-13
20200617,8.493157751004019e-13
20200618,8.493455952352924e-13
20200621,8.361160875177678e-13
20200622,8.384907365733914e-13
20200624,8.212594462069675e-13
20200629,7.96556617595107e-13
20200630,7.921826076554588e-13
20200701,7.922152260378289e-13
20200702,7.857430222277585e-13
20200705,7.989667510509831e-13
20200706,8.023831512200314e-13
20200708,8.024091060601606e-13
20200713,7.918521514068576e-13
20200714,8.868310468048659e-13
20200715,8.868310462333929e-13
20200716,8.991775916787353e-13
20200719,8.550365622919255e-13
20200720,8.786081230508154e-13
20200722,8.772901283792275e-13
20200727,8.398741407345257e-13
20200728,8.398885346855953e-13
20200729,8.398999790747576e-13
20200730,8.436467164256917e-13
20200802,8.517603711265121e-13
20200803,8.633070469490155e-13
20200805,8.603787025586452e-13
20200810,8.79929979242601e-13
20200811,9.73814175965749e-13
20200812,9.640585956972264e-13
20200813,9.640672137002178e-13
20200816,9.138048627949947e-13
20200817,9.182458141303595e-13
20200819,8.750770167230503e-13
20200824,7.624209099183927e-13
20200825,9.509600374280036e-13
20200826,9.603821167360523e-13
20200827,9.700551004863463e-13
20200830,1.0184814707595424e-12
20200831,1.0159305188767604e-12
20200902,1.0666427363143892e-12
20200907,1.0742901858398897e-12
20200908,1.075386642589232e-12
20200909,1.0705423272149499e-12
20200910,1.0836605704172283e-12
20200913,1.0966455950248552e-12
20200914,1.1040411008285018e-12
20200916,1.129712407937315e-12
20200921,1.046067985954229e-12
20200922,1.0570945539114525e-12
20200923,1.0560541149810635e-12
20200924,1.0319512393461934e-12
20200927,1.0442525629928045e-12
20200928,1.0222690379466265e-12
20200930,1.0291065732720646e-12
20201005,1.1467134306566474e-12
20201006,2.4205831115459925e-12
20201007,5.925988840755144e-12
20201008,5.7630289091357956e-12
20201011,5.328058299459954e-12
20201012,5.3423461226063816e-12
20201014,5.019628488480514e-12
20201019,5.004410683677913e-12
20201020,5.501298805712586e-12
20201021,5.40581103668516e-12
20201022,4.609812586688115e-12
20201025,3.129438979865362e-12
20201026,1.6573760023068965e-12
20201102,6.154102907760141e-13
20201103,5.954049611630974e-13
20201104,5.760239925905514e-13
20201105,3.180513101192183e-13
20201108,2.9631240130477417e-13
20201109,2.90599731574921e-13
20201117,3.196138751401833e-13
20201118,3.1859743119020405e-13
20201119,3.2074464515708856e-13
20201122,3.2277018236136547e-13
20201123,3.2358601182381646e-13
20201201,3.1457869159409703e-13
20201202,3.1477044129212933e-13
20201203,3.151086707294221e-13
20201206,3.141295872599482e-13
20201207,3.1310604032276333e-13
20201215,3.1033089305289845e-13
20201216,3.09257943487967e-13
20201220,3.0483821084305396e-13
20201221,3.069051351893678e-13
20201229,3.32151369169075e-13
20201230,3.3301285235966966e-13
20210103,3.418827229013781e-13
20210104,3.4064222779651284e-13
20210112,3.304315396119681e-13
20210113,3.3044976795975346e-13
20210117,3.2936996398597465e-13
20210126,3.4020478675149393e-13
20210127,3.402505261319723e-13
20210131,3.377094670720717e-13
20210209,3.360331455325749e-13
20210210,3.360401956106741e-13
20210214,3.406791689512096e-13
20210223,3.5775984668410575e-13
20210224,3.577740946778614e-13
20210228,3.540231528163103e-13
20210309,6.434489314168345e-13
20210310,6.434823067158094e-13
20210314,6.70372308525403e-13
20210323,5.876492495262173e-13
20210324,5.360613526972749e-13
20210328,5.369380690768208e-13
20210406,2.599500456934889e-13
20210407,2.412286918684702e-13
20210411,2.41198832444714e-13
20210420,4.748296643950486e-13
20210421,4.73640336030945e-13
20210425,4.833103473373967e-13
20210504,4.674843936880357e-12
20210505,4.366928812838363e-12
20210509,4.905409704603029e-12
20210518,3.827915182899784e-12
20210519,3.857932107498594e-12
20210523,3.8084243351088944e-12
20210601,4.1531659974446495e-12
20210602,4.000076744472375e-12
20210606,4.0082594820640225e-12
20210615,3.681815780559958e-12
20210616,3.6544961686098965e-12
20210620,3.7796830298264244e-12
20210629,3.2102480195533647e-12
20210630,3.3174487805272647e-12
20210704,3.4695672280358657e-12
20210713,3.3390124466948182e-12
20210714,3.2826296233449395e-12
20210718,2.779302922216603e-12
20210727,2.5129199017474955e-12
20210728,2.3838914981831397e-12
20210801,2.1649338653617525e-12
20210810,2.1877050067608134e-12
20210811,2.140517401290212e-12
20210815,2.2670734344074265e-12
20210824,1.7888550297333105e-12
20210825,1.7792906021736686e-12
20210829,2.1290481134166016e-12
20210907,1.946900255820172e-12
20210908,1.8716694895726565e-12
20210912,1.8865479594049833e-12
20210921,1.6557199026170313e-12
20210926,1.5847075614402122e-12
20211010,1.7589005017237775e-12
20220222,5.218218382944505e-14
20220227,5.125795904777681e-14
20220308,5.157695115321915e-14
20220313,5.1332076972177014e-14
20220322,3.367538183236925e-14
20220327,3.370824255165209e-14
20220405,3.36047981311435e-14
20220410,4.15258616855461e-14
20220419,4.291216943187887e-14
20220424,4.347260336775171e-14
20220503,6.322903797023288e-13
20220508,6.192397291259253e-13
20220517,8.370323829550698e-13
20220522,8.895444424082592e-13
20220531,7.005368647800651e-13
20220605,6.943192012707126e-13
20230604,7.526625968519601e-13
20230618,7.524593483455111e-13
20230702,8.382705056973368e-13
20230716,6.728483237407783e-13
